trial,diagnostic,condition,expected_warning,detected_warning,warning_count,warnings
11,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.65e+04) | network.0.weight update/weight ratio is high (5.06e+00) | network.0.bias gradient is very large (norm=4.33e+03) | network.0.bias update/weight ratio is high (5.18e+00) | network.2.weight gradient is very large (norm=2.14e+04) | network.2.weight update/weight ratio is high (2.26e+01) | network.2.bias gradient is very large (norm=6.83e+03) | network.2.bias update/weight ratio is high (3.73e+01)
12,batch_inspector,clean_batch,False,False,0,
12,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
12,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
12,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
12,gradient_health,clean_gradient,False,False,0,
12,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.17e+04) | network.0.weight update/weight ratio is high (6.59e+00) | network.0.bias gradient is very large (norm=5.72e+03) | network.0.bias update/weight ratio is high (8.63e+00) | network.2.weight gradient is very large (norm=2.67e+04) | network.2.weight update/weight ratio is high (2.50e+01) | network.2.bias gradient is very large (norm=1.35e+04) | network.2.bias update/weight ratio is high (6.39e+01)
13,batch_inspector,clean_batch,False,False,0,
13,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
13,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
13,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
13,gradient_health,clean_gradient,False,False,0,
13,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.89e+04) | network.0.weight update/weight ratio is high (5.94e+00) | network.0.bias gradient is very large (norm=3.29e+03) | network.0.bias update/weight ratio is high (4.69e+00) | network.2.weight gradient is very large (norm=2.06e+04) | network.2.weight update/weight ratio is high (2.14e+01) | network.2.bias gradient is very large (norm=5.11e+03) | network.2.bias update/weight ratio is high (2.32e+01)
14,batch_inspector,clean_batch,False,False,0,
14,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
14,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
14,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
14,gradient_health,clean_gradient,False,False,0,
14,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.41e+04) | network.0.weight update/weight ratio is high (7.34e+00) | network.0.bias gradient is very large (norm=5.13e+03) | network.0.bias update/weight ratio is high (8.64e+00) | network.2.weight gradient is very large (norm=2.5e+04) | network.2.weight update/weight ratio is high (2.30e+01) | network.2.bias gradient is very large (norm=7.3e+03) | network.2.bias update/weight ratio is high (3.93e+01)
15,batch_inspector,clean_batch,False,False,0,
15,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
15,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
15,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
15,gradient_health,clean_gradient,False,False,0,
15,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.92e+04) | network.0.weight update/weight ratio is high (5.83e+00) | network.0.bias gradient is very large (norm=3.27e+03) | network.0.bias update/weight ratio is high (4.93e+00) | network.2.weight gradient is very large (norm=2.33e+04) | network.2.weight update/weight ratio is high (2.35e+01) | network.2.bias gradient is very large (norm=4.44e+03) | network.2.bias update/weight ratio is high (2.72e+01)
16,batch_inspector,clean_batch,False,False,0,
16,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
16,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
16,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
16,gradient_health,clean_gradient,False,False,0,
